GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
homework5,edu.postech.csed232,PolynomialEvaluator,13,665,3,66,2,114,3,45,0,9
homework5,edu.postech.csed232,PolyZero,0,3,0,0,0,1,0,1,0,1
homework5,edu.postech.csed232,AExpEvaluator,0,336,0,24,0,46,0,23,0,5
homework5,edu.postech.csed232,Monomial,7,79,4,8,0,9,3,4,0,1
homework5,edu.postech.csed232,PolySum,5,12,1,1,1,4,1,1,0,1
homework5,edu.postech.csed232,Const,0,6,0,0,0,1,0,1,0,1
homework5,edu.postech.csed232,Neg,0,6,0,0,0,1,0,1,0,1
homework5,edu.postech.csed232,Add,0,9,0,0,0,1,0,1,0,1
homework5,edu.postech.csed232,Mul,0,9,0,0,0,1,0,1,0,1
homework5,edu.postech.csed232,Polynomial,2,39,1,1,1,8,1,6,0,6
homework5,edu.postech.csed232,PolyOne,0,3,0,0,0,1,0,1,0,1
homework5,edu.postech.csed232,PolyTerm,10,29,2,4,2,7,2,2,0,1
homework5,edu.postech.csed232,Var,0,19,0,2,0,5,0,3,0,2
homework5,edu.postech.csed232,AExp,0,30,0,0,0,6,0,6,0,6
